property_id,sale_date,area_sqft,bedrooms,bathrooms,location_score,property_age,distance_city_km,near_school,near_metro,crime_rate_index,house_price_inr
200055,01-08-2023,2083,4,3,7.9,18,6.6,0,1,4.6,28796799
200056,01-08-2022,1682,4,3,5.8,18,13.5,0,0,5.81,20063880
200057,01-11-2022,2467,5,4,4.8,10,17.1,0,0,3.17,26398331
200058,01-08-2022,1082,2,2,9,18,4.9,1,1,4.48,16290420
200059,01-05-2017,920,2,3,2.1,23,25.4,1,1,2.37,5823686
200060,01-01-2017,1197,3,3,6.1,24,4.1,1,0,3.27,13835256
200061,01-06-2020,1615,3,3,5.7,31,11.6,0,0,2.29,20939132
200062,01-04-2019,1601,3,3,6.7,31,3.1,0,0,5.6,16070017
200063,01-09-2013,1715,2,2,3.8,7,19.7,1,1,8.05,13577788
200064,01-07-2010,1694,4,3,6.8,10,14.6,1,0,5.38,24399745
200065,01-02-2023,1580,3,2,8.8,27,3.6,0,1,3.62,25575464
200066,01-02-2017,988,2,1,4.8,18,18.6,1,1,5.3,8192715
200067,01-12-2017,1504,4,3,6.6,28,15.2,1,1,3.66,22791371
200068,01-03-2022,910,3,4,3.6,12,24.1,0,0,0.7,8920377
200069,01-06-2017,1831,4,4,4.8,60,18,1,0,8.8,15967991
200070,01-07-2010,708,1,1,7.8,28,11.2,0,0,5.54,8043137
200071,01-09-2015,1697,3,3,4.8,11,24.9,1,0,3.53,17298946
200072,01-12-2014,1518,3,2,8.4,19,8.3,1,1,3,19682473
200073,01-05-2013,2594,5,5,6,28,18.9,0,0,4.73,34110969
200074,01-01-2011,1448,3,4,8.6,13,6.5,0,0,4.53,22332562
200075,01-12-2013,1395,2,2,6.3,17,10.4,1,0,4.74,12371536
200076,01-10-2021,2249,4,4,8.2,15,7.7,1,1,4.5,30981050
200077,01-10-2021,1824,2,3,3.8,17,30.3,0,0,4.58,17285362
200078,01-06-2011,2523,5,4,6.4,10,2.8,1,0,2.88,31036624
200079,01-09-2013,2008,3,3,9.1,45,8.4,0,1,4.1,27213517
200080,01-11-2021,2024,4,4,6.4,7,8.9,0,0,5.93,25116019
200081,01-08-2014,1966,4,4,6.5,14,7.9,0,1,4.17,21895772
200082,01-01-2013,1116,2,1,8.5,37,1.7,1,0,1.5,13781332
200083,01-10-2011,1464,3,3,7.9,11,10.2,1,1,4.18,24097530
200084,01-09-2021,1654,3,3,5,6,18.6,1,1,5.91,19776424
200085,01-03-2019,1267,3,3,5.8,27,12,1,0,6.99,12357642
200086,01-09-2015,1301,1,1,5.2,28,23.6,0,1,4.8,11692048
200087,01-07-2019,500,1,1,3.8,22,11.7,0,1,7,3878760
200088,01-06-2023,2150,4,3,5.8,5,19.4,1,1,1.85,26746775
200089,01-12-2011,2004,3,2,4.9,7,14.4,0,0,2.87,15462140
200090,01-06-2012,1359,2,1,10,12,3.3,1,0,4.02,21234474
200091,01-05-2013,2002,3,2,6.6,80,14.6,1,0,1.86,17721620
200092,01-03-2012,1282,3,4,6.6,15,12.9,1,0,1.29,17750915
200093,01-12-2012,1194,2,2,7.7,33,7.9,1,0,2.32,14977848
200094,01-10-2015,2028,4,3,4.9,14,8.7,0,0,6.31,20345299
200095,01-04-2017,2347,6,5,4.6,17,16.6,0,0,3,21143041
200096,01-11-2013,2370,5,4,6.6,11,12.5,1,1,2.93,25089276
200097,01-04-2021,1833,4,4,6.1,27,1.6,0,1,2.73,22312068
200098,01-11-2020,1750,3,3,8.9,6,8.4,1,0,4.42,31287577
200099,01-08-2010,1644,4,4,5.6,62,22.3,0,1,4.74,15744355
200100,01-01-2022,2148,4,3,4.4,28,11.4,0,1,3.95,23096569
200101,01-10-2023,1278,3,3,7.7,52,15.9,1,0,3.54,16069668
200102,01-05-2021,1496,4,3,6.3,20,10.5,1,1,0.9,22145965
200103,01-01-2019,2395,5,3,6.9,32,12.3,1,0,4.85,25223779
200104,01-04-2019,897,1,1,7.2,26,7.5,1,0,4.01,11477327
200105,01-12-2022,1556,2,2,7.4,25,1.4,0,1,6.29,23871304
200106,01-03-2013,1837,4,2,6,21,5.7,0,0,3.17,21044432
200107,01-01-2022,967,2,2,6.5,30,21,1,0,2.97,12139246
200108,01-12-2014,1743,3,1,5.9,29,10.3,0,0,6.65,19392163
200109,01-03-2015,1563,2,1,5.9,24,24.7,1,0,1.62,16319307
200110,01-02-2022,2429,4,4,7.8,15,5.5,0,1,3.47,30155121
200111,01-05-2021,1577,2,3,7.1,7,10,1,0,0.5,25207971
200112,01-12-2013,1893,5,5,4.1,25,22.6,1,1,1.43,21093985
200113,01-12-2010,1871,4,3,5,30,11.5,1,1,3.7,17707278
200114,01-04-2014,1604,3,2,5.1,26,21.4,1,0,5.39,14831705
200115,01-11-2021,1639,4,3,5.5,7,20.3,0,0,3.55,18177426
200116,01-09-2018,2144,4,4,7.6,21,16.6,0,0,8.32,24217283
200117,01-11-2020,2538,4,3,7,9,11.8,0,0,3.47,29329971
200118,01-02-2020,1460,4,4,5,26,19,1,1,6.13,13152500
200119,01-03-2016,1466,5,5,5.9,22,9.8,0,1,2.7,17937568
200120,01-04-2021,1241,1,1,5,58,25,1,0,3.85,11240336
200121,01-11-2017,1458,4,3,5.2,22,21.4,1,0,0.5,15865566
200122,01-11-2023,1191,3,3,4.6,24,15.8,1,0,5.81,8969469
200123,01-06-2012,1739,3,2,7.4,18,19.5,0,0,4.9,16499736
200124,01-12-2017,1723,4,4,7.2,15,7.8,1,1,5.59,23086679
200125,01-10-2013,1399,3,3,5.7,14,19.2,1,0,3.16,13679724
200126,01-08-2023,1416,3,2,6.8,39,17.2,1,0,6.46,15536564
200127,01-07-2022,2885,7,6,7.3,10,15,1,0,2.36,39236694
200128,01-06-2022,2030,4,3,5.6,45,9.3,0,1,1.96,20600861
200129,01-04-2023,1837,4,3,7.7,8,3.5,0,0,3.17,28789189
200130,01-08-2018,2614,4,4,7.2,14,11.4,0,1,2.05,38212090
200131,01-08-2016,1039,3,3,4.4,25,19.9,0,0,2.84,8817901
200132,01-06-2016,1638,3,2,7.1,15,15.4,1,1,4.28,18531468
200133,01-07-2015,2406,4,3,5.1,28,16.1,1,0,1.52,26260113
200134,01-01-2016,1986,4,4,6.5,33,1,0,1,2.02,26781969
200135,01-11-2015,2030,5,3,7.3,19,6.4,1,1,4.21,26819570
200136,01-12-2022,1750,4,4,3.4,21,21.7,1,1,4.56,14332843
200137,01-10-2021,1772,3,1,4.9,60,7.5,1,0,4.25,16586876
200138,01-03-2017,2631,4,3,4.9,37,15.9,1,1,3.3,22203420
200139,01-09-2011,2825,6,5,3.9,22,32.2,0,1,4.35,25981879
200140,01-04-2020,1512,3,3,9,29,6.2,1,1,3.76,20983592
200141,01-02-2015,1546,4,3,7.4,40,7.1,0,0,4.36,19580256
200142,01-12-2014,1029,3,2,7.5,26,13.9,1,1,7.01,12299592
200143,01-05-2014,1592,5,4,8.9,3,1.5,0,0,1.2,27052653
200144,01-09-2019,1235,3,2,4.7,19,16.1,1,1,7.28,13029155
200145,01-03-2019,1706,4,4,6.1,11,14.4,0,1,4.34,20124915
200146,01-04-2023,2224,5,5,5.1,48,7,0,0,4.39,20439633
200147,01-02-2020,1446,4,3,5.9,23,17.6,1,0,1.84,18175958
200148,01-12-2010,1844,3,3,5.9,16,14.6,1,0,7.12,21711507
200149,01-01-2022,1334,3,3,6.8,3,12.3,1,0,1.02,18792452
200150,01-07-2016,2088,4,3,10,9,1.8,1,0,5.8,37982722
200151,01-11-2012,1966,3,3,8.3,38,11.9,1,1,0.65,28391056
200152,01-11-2022,1297,2,2,6,5,13.8,0,0,3.47,15283124
200153,01-09-2016,983,2,1,4.6,6,12.1,1,1,5.32,11355740
200154,01-12-2018,1850,3,3,8.5,43,9.3,1,0,6.09,23769472
200155,01-01-2012,750,1,2,5.2,11,17,0,0,4.42,7322728
200156,01-01-2021,1729,3,3,9.2,24,1,0,1,5.81,26897297
200157,01-03-2020,1991,4,4,3.1,7,20.2,1,1,3.31,15914695
200158,01-06-2014,500,1,2,5.4,22,23.9,0,0,3.15,3834943
200159,01-02-2011,1652,3,4,4,26,14.7,0,1,0.78,14587668
200160,01-04-2023,1892,4,3,6,22,14.7,1,1,5.13,21928355
200161,01-01-2016,1964,3,2,6.7,31,13.1,0,0,3.98,26016483
200162,01-03-2020,1158,2,1,6.3,6,8,1,1,4.9,16770050
200163,01-06-2011,1892,3,3,7.3,29,3.9,1,0,7.57,23394976
200164,01-03-2015,1906,5,4,5.6,22,18.4,0,1,5.37,20864556
200165,01-03-2011,1960,4,4,5.5,31,15.6,0,1,3.22,21757599
200166,01-07-2016,1541,4,4,3.8,15,17.2,0,0,4.51,13195598
200167,01-04-2022,2178,3,3,5.3,27,14,1,0,4.82,25335496
200168,01-01-2019,2281,5,4,9,21,2.2,1,0,3.16,35592786
200169,01-01-2018,2842,7,5,4.4,21,30,0,1,5.01,32105390
200170,01-06-2022,1821,4,3,6.9,17,11.8,1,1,5.06,29686941
200171,01-01-2016,1843,4,4,9.9,9,1,1,0,3,31946625
200172,01-10-2015,1631,3,3,2.3,9,20.7,1,0,0.5,10150563
200173,01-09-2019,2537,5,4,4.6,11,19.7,1,1,5.58,25713987
200174,01-04-2017,1399,3,2,10,6,1,1,0,5.19,25318099
200175,01-07-2015,1716,4,3,6.6,18,8.6,0,1,3.63,23507944
200176,01-06-2014,2308,5,4,7.7,21,8.1,1,1,5.8,30379260
200177,01-05-2021,1943,5,3,8.3,40,2.4,0,0,4.29,21793981
200178,01-08-2022,1834,2,2,5.5,25,12.8,1,1,0.5,18772768
200179,01-09-2019,1784,2,3,9.9,6,9,1,0,3.8,30986701
200180,01-12-2021,1850,3,2,7.8,24,9.2,0,1,0.57,26440531
200181,01-09-2016,1860,3,2,6.6,16,11.8,1,0,5.84,22807283
200182,01-04-2018,2359,6,4,6.5,22,12,1,0,0.8,33547764
200183,01-07-2011,2103,5,4,7.7,18,17.3,1,0,3.59,27602094
200184,01-11-2015,989,2,2,9.2,41,1,0,1,2.61,15389581
200185,01-11-2015,1134,2,2,9.1,8,1,1,1,2.88,20064979
200186,01-10-2021,2276,5,5,6.6,13,9.8,1,1,6.41,35155172
200187,01-02-2022,2527,5,4,4.3,25,12.6,1,0,2.58,25565244
200188,01-07-2018,1769,3,4,4.2,26,23.1,1,1,3.79,18111503
200189,01-10-2013,1337,2,2,5.3,16,20.3,1,0,5.17,11351647
200190,01-03-2017,2458,5,4,7.1,24,8.1,1,0,2.51,35531361
200191,01-05-2017,2106,4,4,5.6,15,16.3,1,0,1.34,24285744
200192,01-05-2019,1916,5,5,7.7,13,11.8,0,1,3.71,30205872
200193,01-04-2022,1030,3,3,4.9,57,17.3,0,0,4.74,9156952
200194,01-06-2022,1178,3,3,7.2,20,2.7,1,1,1.89,16747270
200195,01-11-2023,873,2,2,5.8,52,22.7,0,0,0.71,8774855
200196,01-02-2014,1599,2,3,5.8,14,11,1,1,3.43,17126050
200197,01-01-2017,2002,5,3,2.8,18,16.7,0,1,1.4,17358936
200198,01-09-2015,1308,3,4,4.4,4,3.9,0,0,6.26,11696494
200199,01-12-2020,753,2,2,9,14,14.5,1,0,4.71,11009128
200200,01-06-2019,1468,4,3,7.6,28,10.5,0,0,7.62,20445573
200201,01-11-2016,1451,3,2,3.7,17,17.9,0,0,3.75,12459403
200202,01-01-2021,1142,3,3,7.9,23,12.3,1,1,4.36,15342862
200203,01-04-2021,1980,4,3,10,12,1,1,1,4.91,32416851
200204,01-01-2012,2427,6,5,9.6,16,8,1,1,6.1,38129574
200205,01-08-2022,2004,4,4,7.1,30,13.8,1,1,2.01,28750005
200206,01-11-2010,2029,4,3,7.3,19,8.5,1,0,2.75,27777917
200207,01-11-2015,1142,3,4,5.4,24,12.4,0,1,3.44,10456422
200208,01-06-2013,2083,3,2,4.3,3,15.1,1,0,1.9,23633501
200209,01-10-2023,1642,3,2,9.3,17,2.4,0,0,10.85,24145623
200210,01-10-2010,1663,3,1,6.5,18,19,1,1,4.5,20036170
200211,01-03-2015,922,1,1,5,19,23.3,1,0,5.56,7899521
200212,01-06-2017,1860,3,3,6.7,12,16.3,1,0,7.75,20094394
200213,01-01-2011,1255,3,3,3.1,23,16.1,1,0,3.88,10963511
200214,01-12-2023,2371,6,5,6.5,36,12.7,1,0,2.95,34730369
200215,01-01-2018,1423,3,2,7.6,3,5.3,0,0,4.52,20912427
200216,01-11-2014,824,2,1,8,14,8.6,1,0,2.3,11927410
200217,01-11-2021,1395,3,3,4.6,40,18.6,1,0,4.4,13754136
200218,01-08-2023,1367,3,3,7.6,10,16,1,1,2.04,17001111
200219,01-12-2019,1336,3,2,10,12,8.1,0,0,3.08,23469987
200220,01-06-2020,1664,2,2,6.8,18,15.1,0,1,3.71,24001967
200221,01-05-2010,1710,3,3,7.2,15,9.6,1,1,4.95,22156696
200222,01-08-2012,1647,2,2,7.5,35,19.9,0,0,2.87,21773343
200223,01-05-2010,1974,3,3,4.4,17,16.2,1,1,3.57,15951464
200224,01-06-2017,1620,4,3,4.2,20,20.3,1,0,4.99,14767452
200225,01-02-2016,826,1,2,5.6,39,16.3,0,0,5.04,7395127
200226,01-07-2012,2105,4,3,6.5,32,9.7,1,0,3.54,22540482
200227,01-09-2019,1801,3,3,5.8,23,17.2,1,0,4.57,20065951
200228,01-02-2019,1515,3,2,5.8,30,17.2,1,1,4.22,17470822
200229,01-01-2023,771,2,1,7.7,6,5.2,1,0,4.06,11143221
200230,01-06-2015,1296,2,1,8.5,19,11,0,1,4.75,18196914
200231,01-08-2021,957,1,2,3.6,26,28.5,1,1,4.62,7397116
200232,01-03-2011,1638,3,2,4.1,32,21.4,1,0,5.89,14564769
200233,01-08-2010,939,2,2,6.4,12,10.8,0,1,5.04,11290670
200234,01-02-2010,2437,4,3,6.2,36,23.1,0,0,3.14,29389444
200235,01-05-2019,1782,3,2,8.4,14,12,0,0,5.15,30597387
200236,01-01-2011,2029,5,4,8.6,8,11.9,1,0,2.8,32972111
200237,01-03-2011,1392,2,1,5.1,47,20,1,1,3.77,13603391
200238,01-09-2015,500,2,2,9.4,17,5.1,1,1,3.37,7314457
200239,01-01-2013,2824,6,4,8.6,13,1.7,0,0,4.4,44983063
200240,01-04-2012,2444,6,5,5.8,25,12.6,0,1,6.51,31044115
200241,01-10-2010,1484,4,4,8.1,11,7.3,1,0,7.27,19200419
200242,01-01-2023,1942,4,3,6,49,14.1,1,0,6.68,22888039
200243,01-01-2020,2630,6,4,4.9,16,17.2,1,0,1.89,30631355
200244,01-04-2020,2207,4,5,7.8,14,12.7,0,0,4.6,30060451
200245,01-04-2014,1169,1,2,6,34,15.1,1,1,4.49,12026031
200246,01-11-2020,1502,2,1,8.3,23,3.8,1,1,0.9,24515004
200247,01-11-2021,2472,6,6,5.9,28,11.2,0,1,7.34,30310036
200248,01-02-2022,2756,4,3,8.6,11,7.6,1,0,4.33,40730079
200249,01-07-2018,2039,3,2,4.7,17,12.5,1,0,7.61,17577752
200250,01-12-2017,1803,4,3,4.8,12,9.9,0,1,4.58,17873191
200251,01-09-2011,2255,6,4,6.1,7,9.7,1,1,4.84,29759170
200252,01-02-2014,2093,5,5,6.1,20,11,0,1,3.57,27553101
200253,01-12-2019,2851,5,5,5.3,42,26.3,0,0,5.56,30329205
200254,01-09-2022,1688,3,3,5.7,27,10.7,0,0,5.98,18450495
200255,01-06-2013,1670,4,3,6.8,36,11.3,0,0,4.21,17113308
200256,01-04-2016,1467,2,2,5.7,26,15.4,1,0,3.49,14686338
200257,01-08-2020,2588,5,5,8.5,39,10.8,1,1,0.63,38540311
200258,01-10-2022,1433,2,2,9.1,21,8.6,0,1,2.55,20005091
200259,01-10-2017,1957,5,5,9,9,9.1,1,1,9.98,24526045
200260,01-04-2011,1568,3,2,8.5,15,7.6,1,0,3.12,19370236
200261,01-02-2010,2319,5,3,5,32,18.3,1,1,1.88,23609228
200262,01-04-2012,2243,3,2,5.9,18,10.5,1,1,6.73,24969694
200263,01-12-2017,1714,4,3,4.8,39,27.4,0,1,9.94,15772611
200264,01-08-2022,2149,5,4,5,9,20.4,1,0,3.09,27509252
200265,01-11-2010,1511,3,2,6.3,15,9.7,0,1,4.9,16058511
200266,01-05-2010,1702,4,3,8.2,14,8.7,1,0,5.47,25506997
200267,01-03-2022,2573,5,3,3.2,80,22.1,0,0,5.61,17475726
200268,01-08-2019,2073,3,3,6,13,14.5,1,0,6.49,23254917
200269,01-12-2018,989,2,1,6,27,13.2,0,0,3.54,11362502
200270,01-03-2012,1563,3,3,5.2,23,15,1,0,1.13,16838814
200271,01-04-2010,1308,2,2,9.2,21,1,1,0,4.76,16669976
200272,01-01-2021,1963,4,4,6.2,17,1.7,1,1,2.06,20654391
200273,01-03-2015,1197,3,3,3.4,32,17.2,1,0,5.42,9032707
200274,01-09-2015,1371,3,2,5.9,35,18.4,0,1,3.15,14027376
200275,01-11-2010,2305,5,4,5.9,20,14.2,1,0,1,24478198
200276,01-04-2019,782,2,1,4.7,26,21.8,1,0,5.67,6886642
200277,01-05-2021,2411,3,1,6.3,10,3.6,1,1,5.36,30854427
200278,01-10-2020,1526,2,1,7,28,10.8,1,0,6.37,20462812
200279,01-08-2010,2015,4,2,4.2,14,22.5,0,1,1.47,18832724
200280,01-06-2018,1968,3,2,7.2,21,6.7,1,1,2.26,25521610
200281,01-02-2014,982,2,2,2.8,46,19.1,0,1,4.4,5425959
200282,01-08-2015,2111,4,3,4.4,16,16.1,0,1,4.65,17692803
200283,01-01-2022,1230,3,2,3,23,20.7,1,1,6.1,9152007
200284,01-11-2021,1813,4,4,7.1,26,11.2,0,0,0.75,24413297
200285,01-09-2023,500,2,2,6.2,25,7.7,0,1,2.12,6411398
200286,01-08-2011,2370,4,3,8.6,16,1,0,0,7,36646607
200287,01-11-2023,1768,4,4,6.3,32,14,1,1,5.26,21042857
200288,01-08-2020,1586,4,3,5.7,25,11.7,0,0,1.04,18566221
200289,01-02-2014,2164,5,4,5.3,27,14.4,1,1,5.38,24701372
200290,01-12-2010,2006,3,2,2.3,23,32,1,0,8.31,12851732
200291,01-05-2017,2527,5,4,4.6,25,15.4,0,1,3.59,26381703
200292,01-11-2022,1732,3,2,3.6,25,17.2,1,1,3.66,15600228
200293,01-06-2020,1751,4,3,4.3,10,10.8,0,0,2.84,16913277
200294,01-11-2012,2137,4,4,6.3,17,16.7,1,0,5.37,26321139
200295,01-02-2010,2141,4,4,7.6,7,8.7,0,0,4.79,28084693
200296,01-09-2023,1802,4,2,9,72,1,1,1,2.95,21573925
200297,01-04-2013,2293,4,3,8.3,25,4.3,1,1,3.98,31239935
200298,01-07-2019,1119,2,2,7.4,52,11.8,0,1,4.58,13905348
200299,01-02-2023,2283,5,4,5.3,29,10.3,0,0,7.78,23616033
200300,01-09-2018,2445,5,5,5.1,25,26.5,1,0,5.58,30272317
200301,01-09-2013,981,2,2,6.7,28,17.8,1,1,5.31,9699515
200302,01-05-2017,2163,4,3,5.7,15,13.3,1,1,6.2,22726194
200303,01-05-2011,1852,3,2,7.2,14,11.4,1,1,6.1,27604162
200304,01-09-2020,2195,4,3,10,65,4,1,0,4.34,38736636
200305,01-02-2010,1076,2,1,9.8,41,2,1,1,5.5,16795398
200306,01-06-2011,1349,2,1,7.3,5,19.1,0,0,5.6,18090558
200307,01-05-2021,837,1,1,6.2,25,16.3,0,1,1.9,9512872
200308,01-07-2021,1790,4,3,7.3,24,4.2,1,0,2.51,20491123
200309,01-02-2014,1843,3,4,6.5,26,20.3,1,1,5.12,22173452
200310,01-11-2016,1974,3,2,7.4,37,7,1,1,5.67,24540313
200311,01-11-2023,2981,6,5,7.4,17,11.7,1,0,8.28,42561452
200312,01-04-2021,1082,2,3,7.3,17,12.6,1,1,4.1,13520657
200313,01-07-2011,1244,3,2,3.7,33,25.8,0,1,9.58,8311996
200314,01-12-2023,1683,4,5,6.3,18,8.8,1,0,3.92,19447378
200315,01-12-2022,2826,5,4,9.2,32,3.6,0,0,1.52,42617883
200316,01-01-2021,951,2,2,5.2,10,12,1,0,7.43,9138633
200317,01-04-2022,2101,4,3,4.5,26,16.3,1,1,5.9,20271306
200318,01-08-2010,1706,4,3,8.3,17,13.5,1,0,5.96,24806727
200319,01-01-2011,2039,5,3,5.4,31,5.8,0,1,3.23,22718689
200320,01-04-2020,500,1,1,7.7,12,6.7,0,0,6.64,6298189
200321,01-02-2020,2227,5,4,7.3,55,7.8,1,0,5.08,27687118
200322,01-06-2010,1529,4,3,6.5,34,12.6,1,1,4.31,16125796
200323,01-12-2022,1667,4,3,8.2,27,1,0,0,2.94,24133476
200324,01-07-2021,2216,5,3,5.9,46,19.4,1,0,6.45,26503294
200325,01-04-2011,1556,4,4,6.5,42,14.4,1,1,7.46,15293176
200326,01-12-2018,902,2,2,6.3,11,13.6,1,1,1.6,12160149
200327,01-09-2014,1399,3,2,6.5,34,21.4,1,1,3.11,16236535
200328,01-05-2011,2408,5,4,5.9,40,28.3,1,1,3.63,22733819
200329,01-04-2016,1759,5,5,7,19,11.5,0,0,4.35,24975446
200330,01-03-2018,1042,2,1,7.2,7,8.2,1,1,0.5,12694078
200331,01-12-2015,3662,7,6,3.2,25,16.5,0,1,4.34,29708454
200332,01-11-2012,819,2,2,9.7,25,1,0,1,7.84,13314265
200333,01-05-2022,1956,3,2,4.4,8,18.9,1,1,0.5,20518552
200334,01-03-2014,1544,1,1,7.1,6,15.4,1,0,3.21,19127842
200335,01-12-2022,2135,3,3,4.5,9,13.3,1,0,1.67,21398191
200336,01-05-2017,1101,3,3,5.9,19,14.7,1,1,2.4,12933839
200337,01-06-2014,1779,3,3,6.1,23,17.4,1,0,2.37,21128229
200338,01-02-2021,1382,1,2,7,52,5.8,0,0,4.12,14920418
200339,01-12-2011,1623,3,2,4.8,46,14.4,0,0,4.77,14996858
200340,01-04-2012,2384,5,3,6.7,21,12.8,1,0,3.56,32174362
200341,01-11-2018,2098,4,4,5.4,32,14.4,0,0,3.18,19203562
200342,01-01-2015,1596,3,3,10,9,6.1,1,1,0.5,25525240
200343,01-10-2012,849,2,2,5.8,14,20.1,1,0,4.01,8261302
200344,01-10-2019,1529,3,2,5.5,29,17.1,1,0,4.81,16014259
200345,01-11-2016,1404,4,3,8.1,24,1,1,1,2.49,18920897
200346,01-10-2012,500,1,1,5.2,34,19.3,0,1,6.26,3092657
200347,01-07-2015,1962,4,3,4.7,5,15.2,1,0,4.35,21045447
200348,01-10-2017,1953,5,4,5.4,16,9.7,0,0,5.27,19961829
200349,01-10-2017,1527,4,4,5.3,31,13.4,0,1,5.27,14212755
200350,01-01-2015,872,2,2,3.2,14,15.4,0,0,5.25,6082517
200351,01-08-2015,1474,1,1,6.5,23,13.5,0,1,0.5,16540944
200352,01-01-2016,908,2,1,4.2,5,13.6,0,1,1.84,9774357
200353,01-11-2023,1556,2,2,4.7,23,21.2,1,1,5.72,16808619
200354,01-04-2010,2032,4,3,8.4,33,16.1,0,0,3.18,30306634
200355,01-10-2020,800,1,1,4.7,31,18.3,1,1,1.27,8463759
200356,01-10-2016,1845,4,4,5.5,16,18.6,1,0,0.5,21553928
200357,01-10-2014,1441,3,2,5.1,13,23.6,1,1,3.2,15384386
200358,01-08-2016,1173,2,2,1,16,34.9,0,1,2.32,6347755
200359,01-04-2023,2675,5,4,9.5,34,1,0,0,1.78,45913731
200360,01-07-2012,1530,3,3,7.8,31,10.5,0,0,0.5,18473926
200361,01-08-2022,2527,5,4,5.7,23,17.6,0,0,3.52,31772437
